field,n_objects
SPLUS-n01s47_predicted,19618
SPLUS-n01s48_predicted,50455
SPLUS-n01s49_predicted,60264
SPLUS-n01s50_predicted,61460
SPLUS-n01s51_predicted,45917
SPLUS-n01s52_predicted,44338
SPLUS-n01s53_predicted,52421
SPLUS-n01s54_predicted,48731
SPLUS-n01s55_predicted,51211
SPLUS-n02n46_predicted,60
SPLUS-n02n47_predicted,46616
SPLUS-n02n48_predicted,60390
SPLUS-n02n49_predicted,58398
SPLUS-n02n50_predicted,54044
SPLUS-n02n51_predicted,49372
SPLUS-n02n52_predicted,40603
SPLUS-n02n53_predicted,48694
SPLUS-n02n54_predicted,52364
SPLUS-n02n55_predicted,47687
SPLUS-n02s47_predicted,1998
SPLUS-n02s48_predicted,37267
SPLUS-n02s49_predicted,47504
SPLUS-n02s50_predicted,46541
SPLUS-n02s51_predicted,56079
SPLUS-n02s52_predicted,61275
SPLUS-n02s53_predicted,50479
SPLUS-n02s54_predicted,53783
SPLUS-n02s55_predicted,46978
SPLUS-n03n51_predicted,36692
SPLUS-n03n52_predicted,40291
SPLUS-n03n53_predicted,38954
SPLUS-n03n54_predicted,53008
SPLUS-n03n55_predicted,45960
SPLUS-n04n51_predicted,38915
SPLUS-n04n52_predicted,41833
SPLUS-n04n53_predicted,39826
SPLUS-n04n54_predicted,49106
SPLUS-n04n55_predicted,49862
SPLUS-n05n50_predicted,56415
SPLUS-n05n51_predicted,50524
SPLUS-n05n52_predicted,39045
SPLUS-n05n53_predicted,34194
SPLUS-n05n54_predicted,43688
SPLUS-n05n55_predicted,42260
