ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
150.125963,-2.969007,0.020331,3.3e-05,6095.08,9.893151,0.014027,0.021477,-196.436,0
150.1575,-2.966667,0.020494,0.000333,6143.947,99.830889,0.025547,0.039117,-148.575,0
150.164167,-2.966389,0.020704,0.00029,6206.903,86.939813,0.031755,0.048622,-86.913,0
149.998542,-2.890194,0.019827,0.00015,5943.985,44.968869,0.150739,0.230804,-344.424,0
150.01425,-2.818778,0.019928,0.000297,5974.264,89.03836,0.182808,0.279906,-314.767,0
150.250292,-2.781194,0.019943,0.000297,5978.761,89.03836,0.211118,0.323254,-310.363,0
150.245833,-2.770556,0.020644,0.000333,6188.916,99.830889,0.217747,0.333403,-104.531,0
150.434,-3.096111,0.019846,0.000297,5949.681,89.03836,0.330467,0.505995,-338.845,0
149.981333,-3.375111,0.019926,0.000297,5973.665,89.03836,0.444657,0.680837,-315.355,0
149.907333,-3.369306,0.021016,0.000297,6300.438,89.03836,0.469952,0.719567,4.698,0
149.672083,-3.072583,0.021472,8.7e-05,6437.144,26.081944,0.475198,0.7276,138.592,0
149.947625,-2.423083,0.020907,0.000297,6267.761,89.03836,0.565614,0.866041,-27.307,0
